,name,release_date,director(s),main_actors/actresses,average_rating_score,number_of_rating_people,brief_introduction
0,Mad Max: Fury Road (2015),14 May 2015 (Hong Kong),George Miller,Tom Hardy/Charlize Theron/Nicholas Hoult,8.1,"743,028","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
0,Before Sunrise (1995),27 January 1995 (USA),Richard Linklater,Ethan Hawke/Julie Delpy/Andrea Eckert,8.1,"228,882","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
0,Les quatre cents coups (1959),3 June 1959 (France),Fran?ois Truffaut,Jean-Pierre L¨¦aud/Albert R¨¦my/Claire Maurier,8.1,"88,713","A young boy, left without attention, delves into a life of petty crime."
0,Spotlight (2015),18 February 2016 (Hong Kong),Tom McCarthy,Mark Ruffalo/Michael Keaton/Rachel McAdams,8.1,"341,806","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
0,Prisoners (2013),31 October 2013 (Hong Kong),Denis Villeneuve,Hugh Jackman/Jake Gyllenhaal/Viola Davis,8.1,"502,700","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
0,Hachi: A Dog's Tale (2009),7 January 2010 (Hong Kong),Lasse Hallstr?m,Richard Gere/Joan Allen/Cary-Hiroyuki Tagawa,8.1,"212,680",A college professor's bond with the abandoned dog he takes into his home.
0,Logan (2017),3 March 2017 (China),James Mangold,Hugh Jackman/Patrick Stewart/Dafne Keen,8.1,"518,186","In the near future, a weary Logan cares for an ailing Professor X, somewhere on the Mexican border. However, Logan's attempts to hide from the world, and his legacy, are upended when a young mutant arrives, pursued by dark forces."
0,Amores perros (2000),16 August 2001 (Hong Kong),Alejandro G. I?¨¢rritu,Emilio Echevarr¨ªa/Gael Garc¨ªa Bernal/Goya Toledo,8.1,"201,883","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
0,The Princess Bride (1987),14 January 1989 (Hong Kong),Rob Reiner,Cary Elwes/Mandy Patinkin/Robin Wright,8.1,"346,045","While home sick in bed, a young boy's grandfather reads him a story called The Princess Bride."
0,Kaze no tani no Naushika (1984),12 February 1988 (Hong Kong),Hayao Miyazaki,Sumi Shimamoto/Mahito Tsujimura/Hisako Ky?da,8.1,"122,906",Warrior/pacifist Princess Nausica? desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
0,Catch Me If You Can (2002),30 January 2003 (Hong Kong),Steven Spielberg,Leonardo DiCaprio/Tom Hanks/Christopher Walken,8.1,"681,966","A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor."
0,Butch Cassidy and the Sundance Kid (1969),15 January 1970 (Hong Kong),George Roy Hill,Paul Newman/Robert Redford/Katharine Ross,8.1,"181,384","Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heals. Their solution - escape to Bolivia."
0,Harry Potter and the Deathly Hallows: Part 2 (2011),4 August 2011 (China),David Yates,Daniel Radcliffe/Emma Watson/Rupert Grint,8.1,"663,830","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
0,Rocky (1976),19 May 1977 (Hong Kong),John G. Avildsen,Sylvester Stallone/Talia Shire/Burt Young,8.1,"454,502",A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.
0,Barry Lyndon (1975),13 August 1976 (Hong Kong),Stanley Kubrick,Ryan O'Neal/Marisa Berenson/Patrick Magee,8.1,"126,904",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
0,"Monsters, Inc. (2001)",9 February 2002 (Hong Kong),Pete Docter/David Silverman/1 more credit,Billy Crystal/John Goodman/Mary Gibbs,8.1,"709,254","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think."
0,The Grapes of Wrath (1940),23 May 1946 (Hong Kong),John Ford,Henry Fonda/Jane Darwell/John Carradine,8.1,"78,465","A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression."
0,The Maltese Falcon (1941),13 August 1950 (Hong Kong),John Huston,Humphrey Bogart/Mary Astor/Gladys George,8.1,"136,401","A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette."
0,Donnie Darko (2001),26 October 2001 (USA),Richard Kelly,Jake Gyllenhaal/Jena Malone/Mary McDonnell,8.1,"679,131","A troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes, after he narrowly escapes a bizarre accident."
