,CONAME,address,lat,lng,distance
307,HOST HOTELS & RESORTS INC,"6903 Rockledge Drive, Suite 1500, Bethesda, MD, 20817",39.0277524,-77.14033719999999,10983.877485
308,MARSH & MCLENNAN COS,"1166 Avenue of the Americas, New York, NY, 10036",40.7568517,-73.9820388,10707.437475
309,MASCO CORP,"21001 Van Born Road, Taylor, MI, 48180",42.2683142,-83.2426558,10797.880806
310,MATTEL INC,"333 Continental Boulevard, El Segundo, CA, 90245",33.9207921,-118.392394,11787.175391
311,MCCORMICK & CO INC,"18 Loveton Circle, Sparks, MD, 21152",39.5203149,-76.64976000000001,10917.943432
312,MCDONALD'S CORP,"One McDonald's Plaza, Oak Brook, IL, 60523",41.8478615,-87.94481809999999,10934.312438
313,MCGRAW HILL FINANCIAL,"55 Water Street, New York, NY, 10041",40.7033782,-74.009675,10713.817498
314,MCKESSON CORP,"One Post Street, San Francisco, CA, 94104",37.788766,-122.402747,11283.88894
315,MEDTRONIC PLC,"20 On Hatch, Lower Hatch Street, Dublin, 2",53.3336406,-6.257194399999999,6252.895972
316,CVS HEALTH CORP,"One CVS Drive, Woonsocket, RI, 2895",41.990756,-71.477265,10499.09845
317,MENTOR GRAPHICS CORP,"8005 SW Boeckman Road, Wilsonville, OR, 97070",45.3187827,-122.762568,10469.214406
318,MERCK & CO,"2000 Galloping Hill Road, Kenilworth, NJ, 7033",40.6774305,-74.2723554,10724.855122
319,MEREDITH CORP,"1716 Locust Street, Des Moines, IA, 50309",41.5834196,-93.63923799999999,11041.734677
320,METHODE ELECTRONICS INC,"7401 West Wilson Avenue, Chicago, IL, 60706",41.9628739,-87.8124459,10919.563963
321,MICRON TECHNOLOGY INC,"8000 South Federal Way, Boise, ID, 83716",43.5300934,-116.1494251,10779.501566
322,MICROSEMI CORP,"One Enterprise, Aliso Viejo, CA, 92656",33.5858799,-117.7334454,11836.345941
323,ENTERGY CORP,"639 Loyola Avenue, New Orleans, LA, 70113",29.9489612,-90.07683019999999,12266.759732
324,MILLER (HERMAN) INC,"855 East Main Avenue, PO Box 302, Zeeland, MI, 49464",42.8144431,-85.99595939999999,10794.803547
325,MSA SAFETY INC,"1000 Cranberry Woods Drive, Cranberry Township, PA, 16066",40.6761653,-80.088267,10892.38627
326,3M CO,"3M Center, St. Paul, MN, 55144",44.9581946,-93.0024097,10663.265483
327,ALLETE INC,"30 West Superior Street, Duluth, MN, 55802",46.7860464,-92.098798,10452.246427
328,MOOG INC  -CL A,"Jamison Road, East Aurora, NY, 14052",42.8050893,-78.6094505,10629.301501
329,RUBY TUESDAY INC,"150 West Church Avenue, Maryville, TN, 37801",35.7545657,-83.97135159999999,11512.311127
330,MOTOROLA SOLUTIONS INC,"1303 East Algonquin Road, Schaumburg, IL, 60196",42.0624688,-88.0514374,10912.761227
331,MURPHY OIL CORP,"200 Peach Street, P.O. Box 7000, El Dorado, AR, 71731-7000",33.2147208,-92.6622873,11950.103158
332,MYERS INDUSTRIES INC,"1293 South Main Street, Akron, OH, 44301",41.051759,-81.526698,10888.409922
333,MYLAN NV,"Building 4, Trident Place, Mosquito Way, Hatfield, Hertfordshire, AL10 9UL",51.7675457,-0.2364009,5928.469235
334,BANK OF AMERICA CORP,"Bank of America Corporate Center, 100 North Tryon Street, Charlotte, NC, 28255",35.2273417,-80.84191679999999,11488.88197
335,NANOMETRICS INC,"1550 Buckeye Drive, Milpitas, CA, 95035",37.4081915,-121.9135317,11335.931844
336,NATIONAL FUEL GAS CO,"6363 Main Street, Williamsville, NY, 14221",42.9625847,-78.71454059999999,10615.490367
337,TENET HEALTHCARE CORP,"1445 Ross Avenue, Suite 1400, Dallas, TX, 75202",32.7848394,-96.80269779999999,12042.572659
338,NATIONAL PRESTO INDS INC,"3925 North Hastings Way, Eau Claire, WI, 54703",44.8592988,-91.45419290000001,10656.356622
339,NEW JERSEY RESOURCES CORP,"1415 Wyckoff Road, Wall, NJ, 7719",40.2101433,-74.1282981,10768.32883
340,NEW YORK TIMES CO  -CL A,"620 Eighth Avenue, New York, NY, 10018",40.756098,-73.99018819999999,10707.775537
341,NEWELL RUBBERMAID INC,"Three Glenlake Parkway, Atlanta, GA, 30328",33.9355355,-84.35995,11716.442107
342,NEWMONT MINING CORP,"6363 South Fiddler's Green Circle, Suite 800, Greenwood Village, CO, 80111",39.6006238,-104.8923492,11309.385018
