ticker,security,sector,sub industry,location,date
FISV,Fiserv Inc,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
FLT,FleetCor Technologies Inc,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
FLIR,FLIR Systems,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
FLS,Flowserve Corporation,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
FLR,Fluor Corp.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
FMC,FMC Corporation,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
FL,Foot Locker Inc,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
F,Ford Motor,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
FTNT,Fortinet,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
FTV,Fortive Corp,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
FBHS,Fortune Brands Home & Security,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BEN,Franklin Resources,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
FCX,Freeport-McMoRan Inc.,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
GPS,Gap Inc.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
GRMN,Garmin Ltd.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
IT,Gartner Inc,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
GD,General Dynamics,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
GE,General Electric,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
GIS,General Mills,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
GM,General Motors,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
GPC,Genuine Parts,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
